	DJIA	CPI	REAL DJIA
Ноябрь 1967	6,775149172	3,520460802	8,709187566
Декабрь 1967	6,808056483	3,523415014	8,739140665
Январь 1968	6,751651026	3,529297384	8,676852838
Февраль 1968	6,733996953	3,532225644	8,656270505
Март 1968	6,734199193	3,535145354	8,653553035
Апрель 1968	6,815881189	3,538056564	8,732323821
Май 1968	6,801283034	3,540959324	8,714822907
Июнь 1968	6,799947326	3,546739687	8,707706836
Июль 1968	6,783325201	3,552486829	8,685337568
Август 1968	6,797951574	3,555348061	8,697102709
Сентябрь 1968	6,841391092	3,55820113	8,737689158
Октябрь 1968	6,858974615	3,563882964	8,749590847
Ноябрь 1968	6,892722856	3,56671182	8,780510232
Декабрь 1968	6,849861301	3,569532696	8,734827801
Январь 1969	6,852295422	3,572345638	8,73444898
Февраль 1969	6,808166961	3,577947893	8,684718264
Март 1969	6,841059767	3,586292865	8,709266098
Апрель 1969	6,85665144	3,591817741	8,719332896
Май 1969	6,843280756	3,594568775	8,703211178
Июнь 1969	6,772153172	3,60004824	8,626604129
Июль 1969	6,703764634	3,605497845	8,552765985
Август 1969	6,729489486	3,610917913	8,57307077
Сентябрь 1969	6,700841805	3,61361697	8,541724031
Октябрь 1969	6,752258694	3,618993327	8,587764564
Ноябрь 1969	6,69986973	3,624340933	8,530027994
Декабрь 1969	6,685061626	3,629660094	8,509900728
Январь 1970	6,612121677	3,632309103	8,434311771
Февраль 1970	6,656199393	3,63758616	8,47311243
Март 1970	6,666409569	3,642835516	8,47807325
Апрель 1970	6,601325223	3,650658241	8,405166178
Май 1970	6,551708709	3,653252276	8,352955629
Июнь 1970	6,527270547	3,658420247	8,323349497
Июль 1970	6,598672503	3,663561646	8,389610053
Август 1970	6,639326663	3,663561646	8,430264214
Сентябрь 1970	6,63421277	3,668676747	8,42003522
Октябрь 1970	6,62752537	3,673765816	8,40825875
Ноябрь 1970	6,677196805	3,678829118	8,452866883
Декабрь 1970	6,73211535	3,683866912	8,502747634
Январь 1971	6,766767586	3,683866912	8,53739987
Февраль 1971	6,778591477	3,686376324	8,54671435
Март 1971	6,807238569	3,688879454	8,572858311
Апрель 1971	6,847739847	3,691376334	8,610862709
Май 1971	6,811035106	3,696351469	8,569182833
Июнь 1971	6,792501542	3,703768067	8,543232672
Июль 1971	6,755105139	3,706228092	8,503376243
Август 1971	6,800248016	3,708682081	8,546065131
Сентябрь 1971	6,788059165	3,708682081	8,53387628
Октябрь 1971	6,732210706	3,711130063	8,47557984
Ноябрь 1971	6,723038857	3,711130063	8,46640799
Декабрь 1971	6,791446157	3,716008122	8,529937232
Январь 1972	6,804802972	3,716008122	8,543294047
Февраль 1972	6,833171809	3,7208625	8,566808506
Март 1972	6,846624279	3,723280881	8,577842595
Апрель 1972	6,860841853	3,725693427	8,589647622
Май 1972	6,867683003	3,728100167	8,594082033
Июнь 1972	6,834141031	3,730501129	8,558139099
Июль 1972	6,829512617	3,735285827	8,548725986
Август 1972	6,870811172	3,737669618	8,587640751
Сентябрь 1972	6,859898179	3,740047741	8,574349635
Октябрь 1972	6,862255695	3,744787086	8,571967805
Ноябрь 1972	6,925801463	3,747148362	8,633152297
Декабрь 1972	6,927577514	3,749504076	8,632572634
Январь 1973	6,906774798	3,751854253	8,609419742
Февраль 1973	6,861784636	3,758871826	8,557412007
Март 1973	6,857524578	3,768152635	8,543871139
Апрель 1973	6,825926811	3,77505715	8,505368857
Май 1973	6,803960204	3,78191432	8,47654508
Июнь 1973	6,793140968	3,788724789	8,458915375
Июль 1973	6,831306107	3,790984677	8,494820626
Август 1973	6,788487391	3,808882247	8,434104341
Сентябрь 1973	6,853404684	3,811097087	8,496806794
Октябрь 1973	6,863364424	3,819907717	8,497955904
Ноябрь 1973	6,712044485	3,826465117	8,340078564
Декабрь 1973	6,746247603	3,832979798	8,367767001
Январь 1974	6,751744537	3,841600541	8,364643192
Февраль 1974	6,757548478	3,854393893	8,357653782
Март 1974	6,741322819	3,867025639	8,328796376
Апрель 1974	6,72952534	3,871201011	8,312823526
Май 1974	6,687320555	3,883623531	8,258196221
Июнь 1974	6,687619699	3,891820298	8,250298598
Июль 1974	6,629931124	3,899950424	8,184479896
Август 1974	6,520002379	3,912023005	8,062478571
Сентябрь 1974	6,409961043	3,923951576	7,940508663
Октябрь 1974	6,50056869	3,933784497	8,021283389
Ноябрь 1974	6,427555849	3,941581808	7,940473238
Декабрь 1974	6,423636498	3,94931879	7,928816904
Январь 1975	6,556337918	3,953164949	8,057672166
Февраль 1975	6,605365578	3,96081317	8,099051605
Март 1975	6,643985027	3,964615456	8,133868768
Апрель 1975	6,710937153	3,968403339	8,19703301
Май 1975	6,724180938	3,974058396	8,204621738
Июнь 1975	6,778773521	3,981549068	8,251723649
Июль 1975	6,723243325	3,992680908	8,185061613
Август 1975	6,727838828	3,994524227	8,187813797
Сентябрь 1975	6,676932316	4,000033883	8,13139763
Октябрь 1975	6,728676459	4,005513349	8,177662307
Ноябрь 1975	6,757711156	4,012772909	8,199437444
Декабрь 1975	6,748067632	4,016383021	8,186183807
Январь 1976	6,882724609	4,018183201	8,319040604
Февраль 1976	6,87998318	4,021773869	8,312708507
Март 1976	6,907205128	4,02356438	8,338139944
Апрель 1976	6,904600307	4,027135813	8,331963691
Май 1976	6,882673341	4,034240638	8,302931899
Июнь 1976	6,910531422	4,039536326	8,325494293
Июль 1976	6,892276092	4,044804117	8,301971172
Август 1976	6,881144328	4,050044303	8,285599221
Сентябрь 1976	6,897896844	4,053522568	8,298873473
Октябрь 1976	6,87205556	4,058717385	8,267837372
Ноябрь 1976	6,853531379	4,060443011	8,247587565
Декабрь 1976	6,912394501	4,063885355	8,303008343
Январь 1977	6,861051437	4,069026754	8,246523879
Февраль 1977	6,842064094	4,079230924	8,217332366
Март 1977	6,82342757	4,085976313	8,191950454
Апрель 1977	6,831845685	4,094344562	8,192000319
Май 1977	6,800904765	4,099332104	8,156071858
Июнь 1977	6,820343822	4,105943698	8,16889932
Июль 1977	6,791300111	4,110873864	8,134925444
Август 1977	6,758663448	4,11414719	8,099015455
Сентябрь 1977	6,741830556	4,117409835	8,078919918
Октябрь 1977	6,707290118	4,120661871	8,041127444
Ноябрь 1977	6,72106419	4,12552018	8,050043206
Декабрь 1977	6,722834347	4,128745989	8,048587554
Январь 1978	6,646286613	4,135166557	7,965619253
Февраль 1978	6,609510955	4,141546164	7,922463988
Март 1978	6,629838702	4,149463861	7,934874037
Апрель 1978	6,730206315	4,157319361	8,02738615
Май 1978	6,734127819	4,166665224	8,021961791
